x,y
1990.2253875943024,908.6121644981038
1990.994546209817,831.8839026089754
1991.639085049647,805.9147493534513
1992.5833813499137,827.7433100620417
1993.6134374958126,760.8774304206252
1994.7985313626436,703.9811328339608
1995.544240020368,690.5677569780373
1996.5677301780859,641.4300454259181
1997.3701207337829,617.8326879011615
1998.3763249226154,472.50994948209086
1999.1524515255874,519.8252643145241
2000.1089418039048,508.7300842858481
2001.09585002747,558.3635949455289
2001.8719766304423,605.6789097779623
2002.7821029922147,576.9091615635091
2003.693167352299,545.6068179077276
2004.8336392994495,752.0468463156765
2005.1788226781193,820.0517239068968
2006.3535985635228,791.0139761748428
2007.3883447009798,711.4851193267849
2008.4099588620743,667.4125986573224
2009.2446433596422,699.4787409382662
2010.130381765313,736.5564741983462
